Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
3,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1115.0,1115.0,5861.340000000001,5861.341400374172,1,0,0,1,0,1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,"[0, 3, 5]",2.6666666666666665,4.222222222222222
3,800.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1039.0,1039.0,5937.340000000001,5937.210489990478,0,0,0,1,1,1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[5, 3, 4]",4.0,0.6666666666666666
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1069.0,1069.0,5907.340000000001,5907.282749608532,0,0,2,0,1,0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,"[2, 2, 4]",2.6666666666666665,0.8888888888888888
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1110.0,1110.0,5866.340000000001,5866.670606039519,0,1,1,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,"[4, 1, 2]",2.3333333333333335,1.5555555555555556
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1134.0,1134.0,5842.340000000001,5842.461362141729,1,1,0,0,1,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,"[0, 4, 1]",1.6666666666666667,2.888888888888889
3,50.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1082.0,1082.0,5894.340000000001,5893.903045300568,1,1,0,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,"[5, 0, 1]",2.0,4.666666666666667
3,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1104.0,1104.0,5872.340000000001,5872.077514113578,0,0,0,1,0,2,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,"[3, 5, 5]",4.333333333333333,0.888888888888889
3,400.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,1073.0,1073.0,5903.340000000001,5903.706200644937,0,0,1,0,0,2,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,"[5, 2, 5]",4.0,2.0
4,0.0,-1.0,-1.0,6976.340000000001,3,50.0,400.0,33,50.0,977.0,977.0,5999.340000000001,5999.600194815694,0,1,1,0,0,2,0.0,0.25,0.25,0.0,0.0,0.5,"[5, 2, 5, 1]",3.25,3.1875
5,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,400.0,137,50.0,988.0,988.0,5988.340000000001,5988.532561564535,0,1,1,0,0,3,0.0,0.2,0.2,0.0,0.0,0.6,"[5, 2, 5, 1, 5]",3.6,3.04
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1152.0,1152.0,5824.340000000001,5824.741996114991,0,0,0,1,2,0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,"[3, 4, 4]",3.6666666666666665,0.22222222222222224
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1121.0,1121.0,5855.340000000001,5854.922385322538,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,1.0,"[5, 5, 5]",5.0,0.0
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1087.0,1087.0,5889.340000000001,5889.1133036444035,1,0,0,0,1,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,"[0, 5, 4]",3.0,4.666666666666667
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1069.0,1069.0,5907.340000000001,5907.267602328187,0,0,1,0,0,2,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,"[5, 5, 2]",4.0,2.0
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1040.0,1040.0,5936.340000000001,5936.531977297102,0,0,1,0,0,2,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,"[5, 5, 2]",4.0,2.0
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1083.0,1083.0,5893.340000000001,5893.419256136784,0,0,0,2,1,0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,"[3, 3, 4]",3.3333333333333335,0.22222222222222224
3,100.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,1115.0,1115.0,5861.340000000001,5860.882792236242,0,1,0,1,0,1,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,"[5, 3, 1]",3.0,2.6666666666666665
4,0.0,-1.0,-1.0,6976.340000000001,3,100.0,100.0,90,100.0,1101.0,1101.0,5875.340000000001,5875.648772113171,0,1,0,2,0,1,0.0,0.25,0.0,0.5,0.0,0.25,"[5, 3, 1, 3]",3.0,2.0
5,0.0,-1.0,-1.0,6976.340000000001,4,50.0,100.0,71,50.0,1097.0,1097.0,5879.340000000001,5879.538675006849,0,1,1,2,0,1,0.0,0.2,0.2,0.4,0.0,0.2,"[5, 3, 1, 3, 2]",2.8,1.7600000000000002
6,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,100.0,33,50.0,1022.0,1022.0,5954.340000000001,5954.334099805225,0,2,1,2,0,1,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,"[5, 3, 1, 3, 2, 1]",2.5,1.9166666666666667
3,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1118.0,1118.0,5858.340000000001,5858.825592428126,0,0,1,1,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"[2, 3, 4]",3.0,0.6666666666666666
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1159.0,1159.0,5817.340000000001,5817.123227237274,0,0,1,0,0,2,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,"[5, 2, 5]",4.0,2.0
3,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1056.0,1056.0,5920.340000000001,5920.303519290969,0,1,1,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,"[4, 1, 2]",2.3333333333333335,1.5555555555555556
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1112.0,1112.0,5864.340000000001,5864.384658133694,1,0,0,0,1,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,"[4, 5, 0]",3.0,4.666666666666667
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1076.0,1076.0,5900.340000000001,5900.315655396646,0,0,1,0,2,0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,"[4, 2, 4]",3.3333333333333335,0.8888888888888888
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1083.0,1083.0,5893.340000000001,5893.041788249387,1,0,0,0,0,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,"[5, 5, 0]",3.3333333333333335,5.555555555555556
