Total Line Failures,Steady State,Accumulation of Failed Capacities,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
3,-1,1115.0,1,0,0,1,0,1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,"[0, 3, 5]",2.6666666666666665,4.222222222222222
3,-1,1039.0,0,0,0,1,1,1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[5, 3, 4]",4.0,0.6666666666666666
3,-1,1069.0,0,0,2,0,1,0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,"[2, 2, 4]",2.6666666666666665,0.8888888888888888
3,-1,1110.0,0,1,1,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,"[4, 1, 2]",2.3333333333333335,1.5555555555555556
3,-1,1134.0,1,1,0,0,1,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,"[0, 4, 1]",1.6666666666666667,2.888888888888889
3,-1,1082.0,1,1,0,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,"[5, 0, 1]",2.0,4.666666666666667
3,-1,1104.0,0,0,0,1,0,2,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,"[3, 5, 5]",4.333333333333333,0.888888888888889
3,2,1073.0,0,0,1,0,0,2,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,"[5, 2, 5]",4.0,2.0
4,3,977.0,0,1,1,0,0,2,0.0,0.25,0.25,0.0,0.0,0.5,"[5, 2, 5, 1]",3.25,3.1875
5,-1,988.0,0,1,1,0,0,3,0.0,0.2,0.2,0.0,0.0,0.6,"[5, 2, 5, 1, 5]",3.6,3.04
3,-1,1152.0,0,0,0,1,2,0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,"[3, 4, 4]",3.6666666666666665,0.22222222222222224
3,-1,1121.0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,1.0,"[5, 5, 5]",5.0,0.0
