Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region of Failure
3,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1115.0,1115.0,5861.340000000001,5861.341400374172,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
3,800.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1039.0,1039.0,5937.340000000001,5937.210489990478,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1069.0,1069.0,5907.340000000001,5907.282749608532,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1110.0,1110.0,5866.340000000001,5866.670606039519,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1134.0,1134.0,5842.340000000001,5842.461362141729,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
3,50.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1082.0,1082.0,5894.340000000001,5893.903045300568,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1104.0,1104.0,5872.340000000001,5872.077514113578,0,3,0.0,1.0,"[1, 1, 1]"
3,400.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,1073.0,1073.0,5903.340000000001,5903.706200644937,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
4,0.0,-1.0,-1.0,6976.340000000001,3,50.0,400.0,33,50.0,977.0,977.0,5999.340000000001,5999.600194815694,2,2,0.5,0.5,"[1, 0, 1, 0]"
5,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,400.0,137,50.0,988.0,988.0,5988.340000000001,5988.532561564535,2,3,0.4,0.6,"[1, 0, 1, 0, 1]"
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1152.0,1152.0,5824.340000000001,5824.741996114991,3,0,1.0,0.0,"[0, 0, 0]"
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1121.0,1121.0,5855.340000000001,5854.922385322538,0,3,0.0,1.0,"[1, 1, 1]"
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1087.0,1087.0,5889.340000000001,5889.1133036444035,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1069.0,1069.0,5907.340000000001,5907.267602328187,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1040.0,1040.0,5936.340000000001,5936.531977297102,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
