Total Line Failures,Steady State,Accumulation of Failed Capacities,Region 0 Failures,Region 1 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region of Failure
3,-1,1115.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
3,-1,1039.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,-1,1069.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
3,-1,1110.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1134.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
3,-1,1082.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,-1,1104.0,0,3,0.0,1.0,"[1, 1, 1]"
3,2,1073.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
4,3,977.0,2,2,0.5,0.5,"[1, 0, 1, 0]"
5,-1,988.0,2,3,0.4,0.6,"[1, 0, 1, 0, 1]"
3,-1,1152.0,3,0,1.0,0.0,"[0, 0, 0]"
3,-1,1121.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1087.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,-1,1069.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,-1,1040.0,1,2,0.3333333333333333,0.6666666666666666,"[1, 1, 0]"
3,-1,1083.0,3,0,1.0,0.0,"[0, 0, 0]"
3,2,1115.0,2,1,0.6666666666666666,0.3333333333333333,"[1, 0, 0]"
4,3,1101.0,3,1,0.75,0.25,"[1, 0, 0, 0]"
5,4,1097.0,4,1,0.8,0.2,"[1, 0, 0, 0, 0]"
6,-1,1022.0,5,1,0.8333333333333334,0.16666666666666666,"[1, 0, 0, 0, 0, 0]"
3,-1,1118.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1159.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1056.0,3,0,1.0,0.0,"[0, 0, 0]"
3,-1,1112.0,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,-1,1076.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1083.0,0,3,0.0,1.0,"[1, 1, 1]"
3,-1,1152.0,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,-1,1091.0,0,3,0.0,1.0,"[1, 1, 1]"
3,2,1161.0,3,0,1.0,0.0,"[0, 0, 0]"
4,-1,1046.0,4,0,1.0,0.0,"[0, 0, 0, 0]"
3,-1,1125.0,2,1,0.6666666666666666,0.3333333333333333,"[1, 0, 0]"
3,-1,1084.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,-1,1112.0,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
3,2,525.0,0,3,0.0,1.0,"[1, 1, 1]"
