Total Line Failures,Steady State,Accumulation of Failed Capacities
3,-1,1115.0
3,-1,1039.0
3,-1,1069.0
3,-1,1110.0
3,-1,1134.0
3,-1,1082.0
3,-1,1104.0
3,2,1073.0
4,3,977.0
5,-1,988.0
3,-1,1152.0
3,-1,1121.0
3,-1,1087.0
3,-1,1069.0
3,-1,1040.0
3,-1,1083.0
3,2,1115.0
4,3,1101.0
5,4,1097.0
6,-1,1022.0
3,-1,1118.0
3,-1,1159.0
3,-1,1056.0
3,-1,1112.0
3,-1,1076.0
3,-1,1083.0
3,-1,1152.0
3,-1,1091.0
3,2,1161.0
4,-1,1046.0
3,-1,1125.0
3,-1,1084.0
3,-1,1112.0
3,2,525.0
4,3,434.0
5,4,452.0
6,5,369.0
7,6,302.0
8,7,288.0
9,8,424.0
10,9,315.0
11,10,495.0
12,11,517.0
13,12,721.0
14,13,861.0
15,14,1102.0
16,15,827.0
17,16,664.0
18,17,583.0
19,18,655.0
20,19,659.0
21,20,741.0
22,21,565.0
23,22,770.0
24,23,855.0
25,-1,1092.0
3,-1,1111.0
3,-1,1100.0
3,2,524.0
4,3,410.0
5,4,427.0
6,5,521.0
7,6,546.0
8,7,448.0
9,8,440.0
10,9,183.0
11,10,251.0
12,11,384.0
13,12,473.0
14,13,500.0
15,14,522.0
16,15,488.0
17,16,404.0
18,17,678.0
19,18,688.0
20,19,571.0
21,20,622.0
22,21,619.0
23,22,659.0
24,23,666.0
25,24,673.0
26,25,666.0
27,26,651.0
28,27,822.0
29,28,990.0
30,29,905.0
31,30,894.0
32,31,979.0
33,32,1064.0
34,33,1064.0
35,34,1009.0
36,35,936.0
37,36,986.0
38,37,970.0
39,38,838.0
40,39,866.0
41,40,1576.0
42,41,1653.0
43,42,1738.0
44,43,1784.0
45,-1,2115.0
3,-1,1138.0
3,-1,1133.0
3,-1,1085.0
3,-1,1107.0
3,-1,1189.0
3,2,748.0
4,3,855.0
5,4,914.0
6,5,895.0
7,6,777.0
8,7,914.0
9,8,736.0
10,9,851.0
11,10,806.0
12,11,824.0
13,12,810.0
14,13,759.0
15,14,744.0
16,15,870.0
17,16,871.0
18,17,927.0
19,18,943.0
20,19,938.0
21,20,941.0
22,21,947.0
23,22,918.0
24,23,898.0
25,24,1037.0
26,-1,1097.0
3,-1,932.0
3,-1,1151.0
3,-1,1135.0
3,-1,1165.0
3,2,1066.0
4,-1,1067.0
3,-1,1106.0
3,-1,1103.0
3,2,1155.0
4,-1,1060.0
3,-1,1131.0
3,-1,1163.0
3,2,1281.0
4,-1,1280.0
3,2,1170.0
4,-1,1077.0
3,2,1199.0
4,-1,1193.0
3,-1,1157.0
3,-1,1102.0
3,-1,1085.0
3,-1,1143.0
3,-1,990.0
3,-1,1100.0
3,-1,1095.0
3,-1,1226.0
3,-1,1106.0
3,-1,1113.0
3,-1,1107.0
3,2,1025.0
4,-1,1060.0
3,-1,1118.0
3,-1,1137.0
3,-1,1092.0
3,-1,1236.0
3,-1,1098.0
3,-1,1183.0
3,2,1051.0
4,3,1036.0
5,-1,1036.0
3,-1,1114.0
3,-1,1107.0
3,-1,1144.0
3,-1,1109.0
3,-1,1125.0
3,-1,1076.0
3,-1,1186.0
3,-1,1109.0
3,-1,940.0
3,-1,1108.0
3,-1,1102.0
3,-1,1087.0
3,-1,1128.0
3,2,1105.0
4,3,1015.0
5,-1,1020.0
3,2,1137.0
4,3,1094.0
5,-1,1095.0
3,-1,1130.0
3,-1,1199.0
3,-1,1089.0
3,-1,1105.0
3,-1,963.0
3,-1,1137.0
3,-1,1141.0
3,-1,1203.0
3,-1,1108.0
3,-1,1030.0
3,-1,1097.0
3,2,753.0
4,3,670.0
5,4,704.0
6,5,726.0
7,6,955.0
8,7,713.0
9,8,855.0
10,9,907.0
11,10,883.0
12,11,695.0
13,12,721.0
14,13,760.0
15,14,778.0
16,15,887.0
17,16,916.0
18,17,888.0
19,18,916.0
20,19,965.0
21,20,881.0
22,21,922.0
23,22,889.0
24,23,880.0
25,24,1138.0
26,-1,1198.0
3,2,1131.0
4,-1,1037.0
3,-1,1100.0
3,2,1199.0
4,-1,1102.0
3,-1,1069.0
