index,Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Mean of T,Variance of T,Region of Failure
0,2,800,-1.0,-1.0,5893.6,2,0.0,0.0,0,0.0,4622.0,4622,1271.6000000000004,0.0,1,0,0,1,0.5,0.0,0.0,0.5,1.5,2.25,"[0, 3]"
1,3,0,-1.0,-1.0,5893.6,3,50.0,800.0,33,50.0,4623.0,4623,1270.6000000000004,0.0,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,2.0,2.0,"[0, 3, 3]"
2,4,0,-1.0,-1.0,5893.6,4,50.0,800.0,14,50.0,4619.0,4619,1274.6000000000004,0.0,1,0,1,2,0.25,0.0,0.25,0.5,2.0,1.5,"[0, 3, 3, 2]"
3,5,0,-1.0,-1.0,5893.6,5,50.0,800.0,20,50.0,4621.0,4621,1272.6000000000004,0.0,1,0,2,2,0.2,0.0,0.4,0.4,2.0,1.2000000000000002,"[0, 3, 3, 2, 2]"
4,6,0,-1.0,-1.0,5893.6,6,50.0,800.0,34,50.0,4625.0,4625,1268.6000000000004,0.0,1,0,2,3,0.16666666666666666,0.0,0.3333333333333333,0.5,2.1666666666666665,1.1388888888888893,"[0, 3, 3, 2, 2, 3]"
5,7,0,-1.0,-1.0,5893.6,-1,50.0,800.0,39,50.0,5894.0,5894,-0.3999999999996362,0.0,1,0,2,4,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,2.2857142857142856,1.0612244897959178,"[0, 3, 3, 2, 2, 3, 3]"
6,2,800,-1.0,-1.0,5893.6,2,0.0,0.0,0,0.0,4624.0,4624,1269.6000000000004,0.0,1,0,0,1,0.5,0.0,0.0,0.5,1.5,2.25,"[0, 3]"
7,3,0,-1.0,-1.0,5893.6,3,50.0,800.0,14,50.0,4619.0,4619,1274.6000000000004,0.0,1,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666665,1.5555555555555558,"[0, 3, 2]"
8,4,0,-1.0,-1.0,5893.6,4,50.0,800.0,20,50.0,4621.0,4621,1272.6000000000004,0.0,1,0,2,1,0.25,0.0,0.5,0.25,1.75,1.1875,"[0, 3, 2, 2]"
9,5,0,-1.0,-1.0,5893.6,5,50.0,800.0,39,50.0,4625.0,4625,1268.6000000000004,0.0,1,0,2,2,0.2,0.0,0.4,0.4,2.0,1.2000000000000002,"[0, 3, 2, 2, 3]"
10,6,0,-1.0,-1.0,5893.6,-1,50.0,800.0,33,50.0,5894.0,5894,-0.3999999999996362,0.0,1,0,2,3,0.16666666666666666,0.0,0.3333333333333333,0.5,2.1666666666666665,1.1388888888888893,"[0, 3, 2, 2, 3, 3]"
11,2,800,-1.0,-1.0,5893.6,2,0.0,0.0,0,0.0,4622.0,4622,1271.6000000000004,0.0,1,0,0,1,0.5,0.0,0.0,0.5,1.5,2.25,"[0, 3]"
12,3,0,-1.0,-1.0,5893.6,3,50.0,800.0,37,50.0,4624.0,4624,1269.6000000000004,0.0,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,2.0,2.0,"[0, 3, 3]"
13,4,0,-1.0,-1.0,5893.6,4,50.0,800.0,14,50.0,4619.0,4619,1274.6000000000004,0.0,1,0,1,2,0.25,0.0,0.25,0.5,2.0,1.5,"[0, 3, 3, 2]"
14,5,0,-1.0,-1.0,5893.6,5,50.0,800.0,34,50.0,4621.0,4621,1272.6000000000004,0.0,1,0,1,3,0.2,0.0,0.2,0.6,2.1999999999999997,1.3600000000000003,"[0, 3, 3, 2, 3]"
15,6,0,-1.0,-1.0,5893.6,6,50.0,800.0,20,50.0,4625.0,4625,1268.6000000000004,0.0,1,0,2,3,0.16666666666666666,0.0,0.3333333333333333,0.5,2.1666666666666665,1.1388888888888893,"[0, 3, 3, 2, 3, 2]"
16,7,0,-1.0,-1.0,5893.6,-1,50.0,800.0,33,50.0,5894.0,5894,-0.3999999999996362,0.0,1,0,2,4,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,2.2857142857142856,1.0612244897959178,"[0, 3, 3, 2, 3, 2, 3]"
17,2,800,-1.0,-1.0,5893.6,2,0.0,0.0,0,0.0,4622.0,4622,1271.6000000000004,0.0,1,0,0,1,0.5,0.0,0.0,0.5,1.5,2.25,"[0, 3]"
18,3,0,-1.0,-1.0,5893.6,3,50.0,800.0,14,50.0,4624.0,4624,1269.6000000000004,0.0,1,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666665,1.5555555555555558,"[0, 3, 2]"
19,4,0,-1.0,-1.0,5893.6,4,50.0,800.0,20,50.0,4619.0,4619,1274.6000000000004,0.0,1,0,2,1,0.25,0.0,0.5,0.25,1.75,1.1875,"[0, 3, 2, 2]"
20,5,0,-1.0,-1.0,5893.6,5,50.0,800.0,34,50.0,4621.0,4621,1272.6000000000004,0.0,1,0,2,2,0.2,0.0,0.4,0.4,2.0,1.2000000000000002,"[0, 3, 2, 2, 3]"
21,6,0,-1.0,-1.0,5893.6,6,50.0,800.0,33,50.0,4625.0,4625,1268.6000000000004,0.0,1,0,2,3,0.16666666666666666,0.0,0.3333333333333333,0.5,2.1666666666666665,1.1388888888888893,"[0, 3, 2, 2, 3, 3]"
22,7,0,-1.0,-1.0,5893.6,-1,50.0,800.0,37,50.0,5894.0,5894,-0.3999999999996362,0.0,1,0,2,4,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,2.2857142857142856,1.0612244897959178,"[0, 3, 2, 2, 3, 3, 3]"
